model_family,checkpoint,loading_precision,dataset,batch_size,method,seed,n_shot,sample,accuracy
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,0,0,100,0.2400
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,1,0,100,0.2800
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,2,0,100,0.2800
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,3,0,100,0.2700
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,4,0,100,0.2300
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,0,0,100,0.2100
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,0,1,100,0.2700
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,0,3,100,0.2400
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,1,0,100,0.1800
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,1,1,100,0.1700
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,1,3,100,0.1400
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,2,0,100,0.2800
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,2,1,100,0.3400
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,2,3,100,0.2700
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,3,0,100,0.2900
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,3,1,100,0.2900
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,3,3,100,0.3000
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,4,0,100,0.2700
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,4,1,100,0.2400
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,0,0,100,0.2300
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,0,0,100,0.2400
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,1,0,100,0.1100
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,1,0,100,0.2800
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,2,0,100,0.2200
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,2,0,100,0.2400
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,3,0,100,0.2000
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,3,0,100,0.2400
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,4,0,100,0.2100
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,4,0,100,0.2700
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,0,0,100,0.2000
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,0,0,100,0.2200
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,0,1,100,0.3000
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,0,1,100,0.2400
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,0,3,100,0.2000
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,0,3,100,0.2600
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,1,0,100,0.2800
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,1,0,100,0.2600
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,1,1,100,0.2600
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,1,1,100,0.2500
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,1,3,100,0.1800
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,1,3,100,0.2200
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,2,0,100,0.2400
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,2,0,100,0.1900
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,2,1,100,0.2700
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,2,1,100,0.1700
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,2,3,100,0.1800
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,2,3,100,0.1800
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,3,0,100,0.2300
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,3,0,100,0.2400
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,3,1,100,0.1900
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,3,1,100,0.2700
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,3,3,100,0.1800
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,3,3,100,0.2300
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,4,0,100,0.2300
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,4,0,100,0.2400
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,4,1,100,0.2300
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,4,1,100,0.2900
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,multiple_choice_prompt,4,3,100,0.1900
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,4,3,100,0.2800
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,multiple_choice_prompt,0,0,100,0.2300
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,multiple_choice_prompt,1,0,100,0.3200
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,multiple_choice_prompt,2,0,100,0.2700
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,multiple_choice_prompt,3,0,100,0.2500
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,multiple_choice_prompt,4,0,100,0.2200
GIT,microsoft/git-base-vqav2,FP32,vqa,2,multiple_choice_prompt,0,0,100,0.0700
